 "Date","Reference","Ticker","ISIN","Type","Quantity","CCY","Price/share","Gross Amount","FX Rate","Fee","Net Amt.","Tax Amt."
"31/07/2026 05:51:36","DD-M5Q6AGAHQL","MRVL","US5738741041","Dividend","","USD","","0.36","","","0.31","0.05"
"30/07/2026 18:05:48","OR-N7T2WQFB4D","ASML","NL0010273215","Sell","1.000000000","EUR","1385.600000000","1385.60","","1.00","1384.60",""
"30/07/2026 14:05:03","OR-YL9Q9LC3ZK","DUOL","US26603R1068","Buy","8.000000000","USD","131.500000000","1053.00","","1.00","1052.00",""
"30/07/2026 13:30:00","OR-SXH5GJKE2Q","PRGS","US7433121008","Buy","25.000000000","USD","41.170000000","1030.25","","1.00","1029.25",""
"30/07/2026 13:05:32","CN-GA8HWYMVR7","USD","","Conversion","","USD","","1052.25","0.87176","","1052.25",""
"30/07/2026 13:05:32","CN-GA8HWYMVR7","EUR","","Conversion","","EUR","","-920.53","1.14710","3.21","-917.32",""
"29/07/2026 19:41:23","CN-5MMXMRJXM9","USD","","Conversion","","USD","","998.10","0.87324","","998.10",""
"29/07/2026 19:41:23","CN-5MMXMRJXM9","EUR","","Conversion","","EUR","","-874.64","1.14515","3.05","-871.59",""
"29/07/2026 15:35:36","OR-5KV9C3VQGF","GENI","GG00BMF1JR16","Buy","150.000000000","USD","7.215000000","1083.25","","1.00","1082.25",""
